"Nam" ,"Ty le lao dong qua dao tao","GDP","Tong san pham trong nuoc phan loai theo nganh giao duc","Co cau tong san pham trong nuoc phan theo nganh giao duc","Chi ngan sach nha nuoc cho nganh giao duc","Thu nhap binh quan dau nguoi","Luoc luong lao dong tu 15 tuoi tro len" ,"Ty le dan so 15 tuoi tro len biet chu","So luong co so giao duc nghe nghiep","So luong giao vien va co so vat chat","Ty le that nghiep"
946719105000,10.3,441646,14841,3.36,11.63,500,38545.4,89.4,178,32357,6.42
978341505000,10.7,481295,16245,3.38,11.89,600,39615.8,89.2,191,35941,6.28
1009877505000,11.1,535762,18071,3.37,12.04,650,40716,90,202,38671,6.01
1041413505000,11.5,613443,21403,3.49,12.63,800,41846.7,91.2,214,39985,5.78
1072949505000,12,715307,23335,3.26,11.83,1000,43008.9,91.5,230,47613,5.6
1104571905000,12.5,839211,26948,3.21,10.89,1657,44904.5,91,277,48541,5.31
1136107905000,13.1,974266,30718,3.15,12.12,1750,46238.7,92.3,299,53364,4.82
1167643905000,13.6,1143715,34821,3.05,13.46,1876,47160.3,92.8,369,56120,4.64
1199179905000,14.3,1485038,38261,2.58,12.85,2909,48209.6,93,393,60651,4.65
1230802305000,14.8,1658389,42780,2.58,13.36,3399,49322,93.2,403,69581,4.6
1262338305000,14.7,2739843,50237,2.34,12.05,4094,50473.5,93.7,414,74573,2.88
1293874305000,15.6,3539881,66701,2.4,12.62,4700,51594.3,94.2,419,84181,2.22
1325410305000,16.7,4073762,84436,2.6,16.85,2000,52616.6,94.7,421,87682,1.96
1357032705000,18.2,4473656,105581,2.95,16.58,5850,53549.3,94.8,428,91633,2.18
1388568705000,18.7,4937032,120696,3.07,15.83,6335,54040.7,94.7,436,91420,2.1
1420104705000,20.4,5191324,136699,3.26,14.01,6966,54266,94.9,445,93507,2.33
1451640705000,20.9,5639401,154718,3.44,14.38,7514,54482.8,95,2697,67686,2.29
1483263105000,21.6,6293905,177620,3.55,14.84,8272,54819.6,95.1,3006,86350,2.22
1514799105000,22,7009042,245998,3.51,15.36,8836,55388,94.8,2957,86910,2.19
1546335105000,22.8,7707200,281431,3.65,15.57,9325,55767.4,95.8,3024,84302,2.17
1577871105000,24.1,8044386,309032,3.84,14.15,9546,54842.9,95.4,3005,83959,2.48
1609493505000,26.1,8487476,328757,3.87,13.89,10261,50560.5,95.7,3100,84500,3.2
1641029505000,26.4,9548738,359276,3.76,12.64,11499,51704.9,96.1,3125,84600,2.34
