"Nam" ,"Ty le do thi hoa","Dan so","Mat do dan so" ,"Dan so thanh thi","Co cau dan thanh thi","Ty le tang dan so hang nam" ,"Tong san pham quoc noi","Ty le that nghiep","Ty le dan so 15 tuoi  tro len biet chu" ,"Ty le tu vong"
946719105000,10.67,616.6,79,65.8,"10,5","3,1","7,5",6,47,"9,4"
978341505000,10.723,625.7,80,67.1,"10,7","2,9",8,5,"47,5",9
1009877505000,10.77,637.7,81,68.7,"10,8","2,5","9,1","4,6","48,1","8,9"
1041413505000,10.9,648.1,83,70.6,"10,9","2,4","9,6",4,"49,2","8,5"
1072949505000,11,660.7,84,72.7,"11,1","2,2",10,"3,6","52,3","8,1"
1104571905000,11.41,681.7,84,77.8,"11,5","2,0","10,5","3,5","54,6",7.6
1136107905000,11.11,683.5,86,76,"11,2","1,7","11,1",3,55,"7,7"
1167643905000,11.7,704.9,87,82.5,"11,8","1,54","11,5","2,5","56,5",7.9
1199179905000,11.85,716.2,89,84.9,"11,9","1,76","12,4","2,3",57.1,7.1
1230802305000,12.63,725.1,91,91.6,"12,6","1,8","13,5",2,59.8,6.9
1262338305000,14.22,735.8,93,104.7,"14,26","2,54","13,52","1,5",74.6,6.9
1293874305000,15.04,746.6,94,112.3,"15,03","1,75",13.694,"1,00",81,"6,07"
1325410305000,15.06,761.6,96,114.7,"15,05","2,01",15.004,"0,51",73.3,"6,09"
1357032705000,15.09,775.8,97,117.1,"15,00","1,86",16.453,"0,40",72.4,"5,94"
1388568705000,15.03,788.8,100,118.6,"14,99","1,68",18.535,"0,33",73,"5,71"
1420104705000,14.99,806.702,101,120.937,15,"1,80",19.185,"0,43",74.9,5.52
1451640705000,14.99,820.4,103,123,"14,99","1,70",20.55,"0,28","75,8","5,52"
1483263105000,14.99,833.5,105,125,"15,02","1,80",22.352,"0,44","73,9","5,39"
1514799105000,15.07,846.531,107,127.621,15.08,1.54,"26,1","0,34",72.4,5.05
1546335105000,15.8,858.076,108,135.617,15.8,1.36,"28,2","0,93",73.5,4.96
1577871105000,15.84,870.24,110,137.89,15.85,1.42,"29,8","1,03",76.56,4.72
1609493505000,15.81,887.086,112,140.327,15.82,1.94,"30,8","4,36",74.44,4.6
1641029505000,15.94,893,113,142,15.95,0.64,"33,7","4,25",75.84,4.16
